id,character,dialogue,movie,race,is_evil
2020,Bilbo,"There and back again, A Hobbit's tale, by Bilbo     Baggins. ,Now, where to begin?     Ah, yes. ,Concerning Hobbits. ",The Fellowship of the Ring ,hobbit,false
2021,Bilbo,"Hobbits have been living and farming in the four     Farthings of the Shire for many hundreds of years. , quite content to     ignore and be ignored by the world of the Big Folk. , Middle Earth being,     after all, full of strange creatures beyond count.",The Fellowship of the Ring ,hobbit,false
2022,Bilbo," Frodo, someone at     the door. ,In fact, it     has been remarked by some that Hobbits' only real passion is for food.    , A rather unfair observation    , As     we have also developed a keen interest in the brewing of ales    ,and the smoking of pipe",The Fellowship of the Ring ,hobbit,false
2023,Bilbo,"Frodo, the door! ,     sticklebacks, where is that boy! FRODO! ",The Fellowship of the Ring ,hobbit,false
2024,Gandalf,"Hmm hmm hmm hmm, Down from the door where it began, hmm     hmm hmm hmm",The Fellowship of the Ring ,maiar,false
2025,Gandalf,"And I must follow if I can. , The road goes     ever on and on, down from the door where it began, now far ahead the road     has gone, and I must follow if I can.      ",The Fellowship of the Ring ,maiar,false
2027,Merry,Pippin! ,The Return of the King ,hobbit,false
2029,Merry, Thank you! I win!,The Return of the King ,hobbit,false
2030,Theoden,"I am ready, Gamling.Bring my horse.",The Two Towers ,human,false
2031,Gandalf,No word. Nothing.,The Return of the King ,maiar,false
2032,Theoden,"This is not a defeat. We will return.,We will return.",The Two Towers ,human,false
2033,Gandalf, Do we know that?,The Return of the King ,maiar,false
2034,Theoden,What is it? What do you see?,The Two Towers ,human,false
2035,Gandalf, That Frodo is alive.     Yes' yes he's alive. ,The Return of the King ,maiar,false
2036,Gollum,"Too risky. Too risky. ,Thieves. They stole it from us. Kill them, kill them, kill them both!    , ",The Return of the King ,hobbit,false
2037,Smeagol,No!,The Return of the King ,hobbit,false
2038,Gollum,"Sshh, quiet, mustn't wake them. Mustn't ruin it now.     ",The Return of the King ,hobbit,false
2039,Smeagol,"But they knows, ,     they knows, they suspects us!",The Return of the King ,hobbit,false
2040,Gollum,"What's it saying my precious, my love? Is Smeagol losing his nerve?",The Return of the King ,hobbit,false
2041,Gimli,"Soon Mr Elf, you will enjoy the fabelled hospitality of the     dwarves. Roaring fires! Malt Beer! Red Meat off the bone!",The Fellowship of the Ring ,dwarf,false
2042,Gimli,This my friend is the home of my cousin Balin and they call     it a Mine! ,The Fellowship of the Ring ,dwarf,false
2043,Gimli,A Mine!,The Fellowship of the Ring ,dwarf,false
2044,Theoden,All riders to the head of the column.,The Two Towers ,human,false
2045,Gimli, Nooooo!     NOOOOOOOOOOoooooooo!,The Fellowship of the Ring ,dwarf,false
2046,Legolas, Goblins! ,The Fellowship of the Ring ,elf,false
2047,Theoden,"You must lead the peopleto Helm's Deep, and make haste.",The Two Towers ,human,false
2048,Theoden,"No!You must do this, for me.",The Two Towers ,human,false
2050,Merry," Hello, Pip.",The Two Towers ,hobbit,false
2051,Pippin,You're hurt.,The Two Towers ,hobbit,false
2054,Merry,"See? I fooled you too.Don't worry about me, Pippin.",The Two Towers ,hobbit,false
2058,Pippin, Aragorn.,The Two Towers ,hobbit,false
2060,Merry,That black rider was looking for something. Or someone (he     walks up to Frodo and looks him in the face) Frodo ?,The Fellowship of the Ring ,hobbit,false
2061,Pippin,Get down!,The Fellowship of the Ring ,hobbit,false
2062,Frodo,"I have to leave the Shire. ,Sam and I must get to Bree",The Fellowship of the Ring ,hobbit,false
2063,Merry, Right. Bucklebury     Ferry. Follow me.,The Fellowship of the Ring ,hobbit,false
2064,Pippin,Run!,The Fellowship of the Ring ,hobbit,false
2065,Merry,"Frodo, this way. Follow me",The Fellowship of the Ring ,hobbit,false
2066,Pippin, Frodo!,The Fellowship of the Ring ,hobbit,false
2067,Merry,Follow me. Run!,The Fellowship of the Ring ,hobbit,false
2068,Merry,Get the rope Sam,The Fellowship of the Ring ,hobbit,false
2069,Sam,     Frodo! ,The Fellowship of the Ring ,hobbit,false
2070,Pippin,Run Frodo!,The Fellowship of the Ring ,hobbit,false
2071,Frodo, No!,The Fellowship of the Ring ,hobbit,false
2072,Pippin,Frodo! Come on!,The Fellowship of the Ring ,hobbit,false
2073,Gandalf,Let the Ringbearer decide,The Fellowship of the Ring ,maiar,false
2074,Theoden,Follow me!,The Two Towers ,human,false
2075,Gandalf,Frodo ?,The Fellowship of the Ring ,maiar,false
2076,Frodo, We will go through     the Mines,The Fellowship of the Ring ,hobbit,false
2077,Gandalf,So be it,The Fellowship of the Ring ,maiar,false
2078,Gimli,"Strong?! ,Oh, that's good.",The Two Towers ,dwarf,false
2079,Gandalf,"So stop your fretting, Master Dwarf.Merry and Pippin are quite safe.In fact, they are far saferthan you are about to be.",The Two Towers ,maiar,false
2080,Gimli,This new Gandalf's more grumpythan the old one.,The Two Towers ,dwarf,false
2081,Legolas,That is one of the Mearas......unless my eyes are cheatedby some spell.,The Two Towers ,elf,false
2082,Gandalf,Shadowfax.He is the lord of all horses......and has been my friendthrough many dangers.,The Two Towers ,maiar,false
2084,Merry,ls it much further?,The Two Towers ,hobbit,false
2085,Treebeard,"Bru-ra-hroom. Don't be hasty.You might call it far, perhaps.My home lies deep in the forest......near the roots of the mountain.I told Gandalf I would keep you safe.And safe is where I'll keep you.I believe you will enjoy this next one too. ,It's one of m",The Two Towers ,ent,false
2086,Treebeard,"Sleep, little Shirelings.Heed no nightly noise.Sleep till morning light.I have business in the forest.There are many to call.Many that must come. ,The Shadow lies on Fangorn.The withering of all woodsis drawing near.",The Two Towers ,ent,false
2087,Frodo,Mordor!,The Fellowship of the Ring ,hobbit,false
2088,Gandalf,In the common tongue it says,The Fellowship of the Ring ,maiar,false
2089,Pippin,Done!,The Fellowship of the Ring ,hobbit,false
2090,Merry,You're supposed to stick it in the ground    ,The Fellowship of the Ring ,hobbit,false
2091,Pippin,It is in the ground ,The Fellowship of the Ring ,hobbit,false
2092,Merry,Outside ,The Fellowship of the Ring ,hobbit,false
2093,Pippin,It was your idea!,The Fellowship of the Ring ,hobbit,false
2094,Frodo,Bilbo! Bilbo! Watch out for the dragon    ,The Fellowship of the Ring ,hobbit,false
2095,Bilbo,"    Dragon! Nonsense, there hasn't been a dragon in these parts for a thousand     years. ",The Fellowship of the Ring ,hobbit,false
2096,Merry,That was good!,The Fellowship of the Ring ,hobbit,false
2097,Pippin,Lets get another one!,The Fellowship of the Ring ,hobbit,false
2098,Gandalf,Meriadoc Brandybuck and Peregrin Took! I might have known!,The Fellowship of the Ring ,maiar,false
2099,Theoden,Get the wounded on horses.The wolves of lsengard will return.Leave the dead.,The Two Towers ,human,false
2100,Frodo,Speech!,The Fellowship of the Ring ,hobbit,false
2101,Bilbo,"My dear Bagginses and Boffins, , Tooks and Brandybucks ,, Grubbs ,, Chubbs    ,, Hornblowers ,, Bulgers ,,     Bracegirdles ,, and Proudfoots",The Fellowship of the Ring ,hobbit,false
2102,Hobbit, PROUDFEET! ,The Fellowship of the Ring ,hobbit,false
2103,Gandalf,I come with tidings in this dark hour and with counsel.,The Return of the King ,maiar,false
2104,Theoden,Come.,The Two Towers ,human,false
2105,Theoden,"Simbelmyne. Ever has it grown on the tombs of my forebearers.,Now it shall cover the grave    of my son. Alas that these evil days should be mine. The young perish and     the old linger. That I should live......to see the last days of my house.",The Two Towers ,human,false
2106,Pippin,Boromir died to save us my kinsman and me. He fell defending us from     many foes. ,The Return of the King ,hobbit,false
2107,Gandalf,Pippin.,The Return of the King ,maiar,false
2108,Pippin,"I offer you my service, such as it is in payment of this debt. ",The Return of the King ,hobbit,false
2109,Theoden,No parent should have to bury their child.,The Two Towers ,human,false
2110,Pippin,The mightiest man may be slain by one arrow and Boromir was pierced by     many.,The Return of the King ,hobbit,false
2111,Gandalf,Get up!,The Return of the King ,maiar,false
2112,Gandalf,"My lord, there will be a time to grieve for Boromir but it is not now.     War is coming. The enemy is on your doorstep. As steward, you are charged     with the defence of this city. Where are Gondor's armies? You still have     friends. You are not alon",The Return of the King ,maiar,false
2113,Theoden,I haven't seen my niece smilefor a long time.She was a girl when they broughther father back dead.Cut down by Orcs.She watched her mothersuccumb to grief.,The Two Towers ,human,false
2114,Gandalf,"Authority is not given to you to deny the return of the King, steward.",The Return of the King ,maiar,false
2115,Theoden,Then she was left aloneto tend her king in growing fear.Doomed to wait upon an old manwho should have loved her as a father.,The Two Towers ,human,false
2116,Gandalf,Come!,The Return of the King ,maiar,false
2236,Merry,hmmmhmmm,The Fellowship of the Ring ,hobbit,false
2117,Gandalf,"All had turned to vain ambition. He would use even his grief as a cloak!     A thousand years this city has stood and now at the whim of a madman it will     fall! And the white tree, the tree of the King will never bloom again.",The Return of the King ,maiar,false
2118,Gandalf,"A wizard is never late! Frodo Baggins.    , Nor is he early, he arrives precisely when he means     to.      ",The Fellowship of the Ring ,maiar,false
2119,Frodo,Its wonderful to see you Gandalf. ,The Fellowship of the Ring ,hobbit,false
2235,Pippin,It comes in pints ?,The Fellowship of the Ring ,hobbit,false
